"id","descripcion","code"
"recinto_fiscal01","Terrestre San Bartolo","01"
"recinto_fiscal02","Maritima de Acajutla","02"
"recinto_fiscal03","Aéra Monseñor Oscar Arnulfo Romero","03"
"recinto_fiscal04","Terrestre Las Chinamas","04"
"recinto_fiscal05","Terrestre La Hachadura","05"
"recinto_fiscal06","Terrestre Santa Ana","06"
"recinto_fiscal07","Terrestre San Cristóbal","07"
"recinto_fiscal08","Terrestre Anguiatú","08"
"recinto_fiscal09","Terrestre El Amatillo","09"
"recinto_fiscal10","Maritima La Unión (Puerto Cutuco)","10"
"recinto_fiscal11","Terrestre El Poy","11"
"recinto_fiscal12","Aduana Terrestre Metalío","12"
"recinto_fiscal13","Fardos Postales","15"
"recinto_fiscal14","Z.F San Marcos","16"
"recinto_fiscal15","Z.F El Pedregal","17"
"recinto_fiscal16","Z.F San Bartolo","18"
"recinto_fiscal17","Z.F Exportsalva","20"
"recinto_fiscal18","Z.F American Park","21"
"recinto_fiscal19","Z.F Internacional","23"
"recinto_fiscal20","Z.F Diez","24"
"recinto_fiscal21","Z.F Miramar","26"
"recinto_fiscal22","Z.F San Tomas","27"
"recinto_fiscal23","Z.F San Tecla","28"
"recinto_fiscal24","Z.F San Ana","29"
"recinto_fiscal25","Z.F La Concordia","30"
"recinto_fiscal26","Aérea Ilopango","31"
"recinto_fiscal27","Z.F Pipil","32"
"recinto_fiscal28","Puerto Barillas","33"
"recinto_fiscal29","Z.F Calvo Conservas","34"
"recinto_fiscal30","Feria Internacional","35"
"recinto_fiscal31","Delg. Aduana El Papalón","36"
"recinto_fiscal32","Z.F Parque Industrias Sam-Li","37"
"recinto_fiscal33","Z.F San José","38"
"recinto_fiscal34","Z.F Las Mercedes","39"
"recinto_fiscal35","Almacenes De Desarrollo (Aldesa)","71"
"recinto_fiscal36","Almac. Gral. Dep. Occidente(Agdosa)","72"
"recinto_fiscal37","Bodega General De Deposito (Bodega)","73"
"recinto_fiscal38","DHL","76"
"recinto_fiscal39","Transauto(Santa Elena)","77"
"recinto_fiscal40","Almacenadora Nejepa, S.a de C.v","80"
"recinto_fiscal41","Almacenadora Almaconsa S.A DE C.V","81"
"recinto_fiscal42","Alm.Gral.Depósito Occidente (Apopa)","83"
"recinto_fiscal43","San Bartolo Envío Hn/Gt","99"