"id","code","name"
"country_001","9333","AUSTRALIA"
"country_002","9336","AUSTRIA"
"country_003","9339","BANGLADESH"
"country_004","9342","BAHRÉIN"
"country_005","9345","BARBADOS"
"country_006","9348","BÉLGICA"
"country_007","9349","BELICE"
"country_008","9350","BENÍN"
"country_009","9354","BIRMANIA"
"country_010","9357","BOLIVIA"
"country_011","9360","BOTSWANA"
"country_012","9363","BRASIL"
"country_013","9366","BRUNÉI"
"country_014","9372","BURUNDI"
"country_015","9374","BOPHUTHATSWANA"
"country_016","9375","BUTÁN"
"country_017","9377","CABO VERDE"
"country_018","9378","CAMBOYA"
"country_019","9381","CAMERÚN"
"country_020","9384","CANADÁ"
"country_021","9387","CEILÁN"
"country_022","9390","CTRO AFRIC REP"
"country_023","9393","COLOMBIA"
"country_024","9394","COMORAS-ISLAS"
"country_025","9396","CONGO REP DEL"
"country_026","9399","CONGO REP DEMOC"
"country_027","9402","COREA NORTE"
"country_028","9405","COREA SUR"
"country_029","9408","COSTA DE MARFIL"
"country_030","9411","COSTA RICA"
"country_031","9414","CUBA"
"country_032","9417","CHAD"
"country_033","9420","CHECOSLOVAQUIA"
"country_034","9423","CHILE"
"country_035","9426","CHINA REP POPUL"
"country_036","9432","CHIPRE"
"country_037","9435","DAHOMEY"
"country_038","9438","DINAMARCA"
"country_039","9440","DOMINICA"
"country_040","9441","DOMINICANA REP"
"country_041","9444","ECUADOR"
"country_042","9446","EMIRAT ARAB UNI"
"country_043","9447","ESPAÑA"
"country_044","9450","EE UU"
"country_045","9453","ETIOPIA"
"country_046","9456","FIJI-ISLAS"
"country_047","9459","FILIPINAS"
"country_048","9462","FINLANDIA"
"country_049","9465","FRANCIA"
"country_050","9468","GABÓN"
"country_051","9471","GAMBIA"
"country_052","9474","GHANA"
"country_053","9477","GIBRALTAR"
"country_054","9480","GRECIA"
"country_055","9481","GRENADA"
"country_056","9483","GUATEMALA"
"country_057","9486","GUINEA"
"country_058","9487","GUYANA"
"country_059","9495","HAITÍ"
"country_060","9498","HOLANDA"
"country_061","9501","HONDURAS"
"country_062","9504","HONG KONG"
"country_063","9507","HUNGRÍA"
"country_064","9513","INDONESIA"
"country_065","9516","IRAK"
"country_066","9519","IRÁN"
"country_067","9522","IRLANDA"
"country_068","9525","ISLANDIA"
"country_069","9526","ISLAS SALOMÓN"
"country_070","9528","ISRAEL"
"country_071","9531","ITALIA"
"country_072","9534","JAMAICA"
"country_073","9537","JAPÓN"
"country_074","9540","JORDANIA"
"country_075","9543","KENIA"
"country_076","9544","KIRIBATI"
"country_077","9546","KUWAIT"
"country_078","9549","LAOS"
"country_079","9552","LESOTHO"
"country_080","9555","LÍBANO"
"country_081","9558","LIBERIA"
"country_082","9561","LIBIA"
"country_083","9564","LIECHTENSTEIN"
"country_084","9567","LUXEMBURGO"
"country_085","9570","MADAGASCAR"
"country_086","9573","MALASIA"
"country_087","9576","MALAWI"
"country_088","9577","MALDIVAS"
"country_089","9582","MALTA"
"country_090","9585","MARRUECOS"
"country_091","9591","MASCATE Y OMÁN"
"country_092","9594","MAURICIO"
"country_093","9597","MAURITANIA"
"country_094","9600","MÉXICO"
"country_095","9601","MICRONESIA"
"country_096","9603","MÓNACO"
"country_097","9606","MONGOLIA"
"country_098","9609","MOZAMBIQUE"
"country_099","9611","NAURU"
"country_100","9612","NEPAL"
"country_101","9615","NICARAGUA"
"country_102","9618","NÍGER"
"country_103","9621","NIGERIA"
"country_104","9624","NORUEGA"
"country_105","9627","NVA CALEDONIA"
"country_106","9633","NVA ZELANDIA"
"country_107","9636","NUEVAS HEBRIDAS"
"country_108","9638","PAPUA NV GUINEA"
"country_109","9639","PAKISTÁN"
"country_110","9642","PANAMÁ"
"country_111","9645","PARAGUAY"
"country_112","9648","PERÚ"
"country_113","9651","POLONIA"
"country_114","9660","QATAR EL"
"country_115","9663","REINO UNIDO"
"country_116","9666","EGIPTO"
"country_117","9669","RODESIA"
"country_118","9672","RUANDA"
"country_119","9675","RUMANIA"
"country_120","9677","SAN MARINO"
"country_121","9678","SAMOA OCCID"
"country_122","9679","SAINT KITTS AND NEVIS"
"country_123","9680","SANTA LUCIA"
"country_124","9681","SENEGAL"
"country_125","9682","SAOTOME Y PRINC"
"country_126","9683","SN VIC Y GRENAD"
"country_127","9684","SIERRA LEONA"
"country_128","9687","SINGAPUR"
"country_129","9690","SIRIA"
"country_130","9691","SEYCHELLES"
"country_131","9693","SOMALIA"
"country_132","9696","SUDÁFRICA REP"
"country_133","9699","SUDAN"
"country_134","9702","SUECIA"
"country_135","9705","SUIZA"
"country_136","9706","SURINAM"
"country_137","9707","SRI LANKA"
"country_138","9708","SUECILANDIA"
"country_139","9714","TANZANIA"
"country_140","9717","TOGO"
"country_141","9720","TRINIDAD TOBAGO"
"country_142","9722","TONGA"
"country_143","9723","TÚNEZ"
"country_144","9725","TRANSKEI"
"country_145","9726","TURQUÍA"
"country_146","9727","TUVALU"
"country_147","9729","UGANDA"
"country_148","9732","U R S S"
"country_149","9735","URUGUAY"
"country_150","9738","VATICANO"
"country_151","9739","VANUATU"
"country_152","9740","VENDA"
"country_153","9741","VENEZUELA"
"country_154","9744","VIETNAM NORTE"
"country_155","9747","VIETNAM SUR"
"country_156","9750","YEMEN SUR REP"
"country_157","9756","YUGOSLAVIA"
"country_158","9758","ZAIRE"
"country_159","9759","ZAMBIA"
"country_160","9760","ZIMBABWE"
"country_161","9850","PUERTO RICO"
"country_162","9862","BAHAMAS"
"country_163","9863","BERMUDAS"
"country_164","9865","MARTINICA"
"country_165","9886","NUEVA GUINEA"
"country_166","9898","ANT HOLANDESAS"
"country_167","9899","TAIWÁN"
"country_168","9897","ISLAS VÍRGENES BRITÁNICAS"
"country_169","9887","ISLAS GRAN CAIMÁN"
"country_170","9571","MACEDONIA"
"country_171","9300","EL SALVADOR"
"country_172","9369","BULGARIA"
"country_173","9439","DJIBOUTI"
"country_174","9510","INDIA"
"country_175","9579","MALI"
"country_176","9654","PORTUGAL"
"country_177","9711","TAILANDIA"
"country_178","9736","UCRANIA"
"country_179","9737","UZBEKISTÁN"
"country_180","9640","PALESTINA"
"country_181","9641","CROACIA"
"country_182","9673","REPUBLICA DE ARMENIA"
"country_183","9472","GEORGIA"
"country_184","9311","ALEMANIA"
"country_185","9733","RUSIA"
"country_186","9541","KASAKISTAN"
"country_187","9746","VIETNAM"
"country_188","9551","LETONIA"
"country_189","9451","ESLOVENIA"
"country_190","9338","AZERBAIYÁN"
"country_191","9353","BIELORRUSIA"
"country_192","9482","GROENLANDIA"
"country_193","9494","GUINEA-BISSAU"
"country_194","9524","ISLA DE COCOS"
"country_195","9304","ALAND"
"country_196","9332","ARUBA"
"country_197","9454","ERITREA"
"country_198","9457","ESTONIA"
"country_199","9489","GUADALUPE"
"country_200","9491","GUAYANA FRANCESA"
"country_201","9492","GUERNSEY"
"country_202","9523","ISLA DE NAVIDAD"
"country_203","9530","ISLAS AZORES"
"country_204","9532","ISLA QESHM"
"country_205","9535","ISLAS MARIANAS DEL NORTE"
"country_206","9542","ISLAS ULTRAMARINAS DE EE UU"
"country_207","9547","JERSEY"
"country_208","9548","KIRGUISTÁN"
"country_209","9574","MALI"
"country_210","9598","MAYOTTE"
"country_211","9602","MOLDAVIA"
"country_212","9607","MONTENEGRO"
"country_213","9608","MONSERRAT"
"country_214","9623","NORFOLK"
"country_215","9652","POLINESIA FRANCESA"
"country_216","9692","SVALBARD Y JAN MAYEN"
"country_217","9709","TAYIKISTÁN"
"country_218","9712","TERRITORIO BRITÁNICO DEL OCÉANO INDICO"
"country_219","9716","TIMOR ORIENTAL"
"country_220","9718","TOKELAU"
"country_221","9719","TURKMENISTÁN"
"country_222","9751","YIBUTI"
"country_223","9452","WALLIS Y FUTUNA"
"country_224","9901","NEVADA (USA)"
"country_225","9902","WYOMING (USA)"
"country_226","9903","CAMPIONE D'ITALIA, ITALIA"
"country_227","9664","REPUBLICA CHECA"
"country_228","9415","CURAZAO"
"country_229","9904","FLORIDA (USA)"
"country_230","9514","INGLATERRA Y GALES"
"country_231","9906","TEXAS (USA)"
"country_232","9359","BOSNIA Y HERZEGOVINA"
"country_233","9493","GUINEA ECUATORIAL"
"country_234","9521","ISLA DE MAN"
"country_235","9533","ISLAS MALVINAS"
"country_236","9538","ISLAS PITCAIM"
"country_237","9689","SERBIA"
"country_238","9713","TERRITORIOS AUSTRALES FRANCESES"
"country_239","9449","ESLOVAQUIA"
"country_240","9888","SAN MAARTEN"
"country_241","9490","GUAM"
"country_242","9527","ISLAS COOK"
"country_243","9529","ISLAS FEROE"
"country_244","9536","ISLAS MARSHALL"
"country_245","9545","ISLAS VÍRGENES ESTADOUNIDENSES"
"country_246","9568","MACAO"
"country_247","9610","NAMIBIA"
"country_248","9622","NIUE"
"country_249","9643","PALAOS"
"country_250","9667","REUNIÓN"
"country_251","9676","SAHARA OCCIDENTAL"
"country_252","9685","SAMOA AMERICANA"
"country_253","9686","SAN PEDRO Y MIQUELÓN"
"country_254","9688","SANTA ELENA"
"country_255","9715","TERRITORIOS PALESTINOS"
"country_256","9900","DELAWARE (USA)"
"country_257","9371","BURKINA FASO"
"country_258","9376","CABINDA"
"country_259","9907","WASHINGTON (USA)"
